Timestamp,Device,Sensor,Sensor_Value
2019-05-08 19:30:24,0x00158d000349876a,temperature,22.17
2019-05-08 19:30:26,0x00158d000349876a,temperature,22.17
2019-05-08 19:30:28,0x00158d000349876a,temperature,22.17
2019-05-08 19:45:00,0x00158d000349876a,temperature,21.66
2019-05-08 19:45:02,0x00158d000349876a,temperature,21.66
2019-05-08 19:45:04,0x00158d000349876a,temperature,21.66
2019-05-08 20:01:53,0x00158d000349876a,temperature,21.25
2019-05-08 20:06:24,0x00158d000349876a,temperature,21.15
2019-05-08 20:06:26,0x00158d000349876a,temperature,21.15
2019-05-08 20:06:29,0x00158d000349876a,temperature,21.15
2019-05-08 20:32:20,0x00158d000349876a,temperature,20.89
2019-05-08 20:32:22,0x00158d000349876a,temperature,20.89
2019-05-08 20:32:24,0x00158d000349876a,temperature,20.89
2019-05-08 20:47:03,0x00158d000349876a,temperature,20.81
2019-05-08 20:47:05,0x00158d000349876a,temperature,20.81
2019-05-08 20:56:26,0x00158d000349876a,temperature,20.82
2019-05-08 21:19:51,0x00158d000349876a,temperature,21.02
2019-05-08 21:19:54,0x00158d000349876a,temperature,21.02
2019-05-08 21:19:56,0x00158d000349876a,temperature,21.02
2019-05-08 21:22:44,0x00158d000349876a,temperature,21.32
2019-05-08 21:22:48,0x00158d000349876a,temperature,21.32
2019-05-08 21:22:50,0x00158d000349876a,temperature,21.32
2019-05-08 21:22:54,0x00158d000349876a,temperature,21.32
2019-05-08 21:22:57,0x00158d000349876a,temperature,21.32
2019-05-08 21:39:56,0x00158d000349876a,temperature,21.22
2019-05-08 21:39:58,0x00158d000349876a,temperature,21.22
2019-05-08 21:52:29,0x00158d000349876a,temperature,21.05
2019-05-08 22:07:13,0x00158d000349876a,temperature,20.91
2019-05-08 22:07:15,0x00158d000349876a,temperature,20.91
2019-05-08 22:51:32,0x00158d000349876a,temperature,20.81
2019-05-08 22:51:34,0x00158d000349876a,temperature,20.81
2019-05-08 22:51:36,0x00158d000349876a,temperature,20.81
2019-05-08 22:52:43,0x00158d000349876a,temperature,20.78
2019-05-08 23:44:24,0x00158d000349876a,temperature,20.73
2019-05-08 23:44:26,0x00158d000349876a,temperature,20.73
2019-05-08 23:44:28,0x00158d000349876a,temperature,20.73
2019-05-08 23:48:15,0x00158d000349876a,temperature,20.75
2019-05-09 00:46:48,0x00158d000349876a,temperature,20.68
2019-05-09 01:44:11,0x00158d000349876a,temperature,20.64
2019-05-09 02:44:24,0x00158d000349876a,temperature,20.57
2019-05-09 03:39:47,0x00158d000349876a,temperature,20.52
2019-05-09 04:19:36,0x00158d000349876a,temperature,20.51
2019-05-09 04:19:38,0x00158d000349876a,temperature,20.51
2019-05-09 04:19:40,0x00158d000349876a,temperature,20.51
2019-05-09 04:35:40,0x00158d000349876a,temperature,20.5
2019-05-09 05:22:40,0x00158d000349876a,temperature,20.51
2019-05-09 05:22:42,0x00158d000349876a,temperature,20.51
2019-05-09 05:22:44,0x00158d000349876a,temperature,20.51
2019-05-09 05:29:42,0x00158d000349876a,temperature,20.5
2019-05-09 06:26:14,0x00158d000349876a,temperature,20.51
2019-05-09 07:17:38,0x00158d000349876a,temperature,20.61
2019-05-09 07:26:19,0x00158d000349876a,temperature,21.02
2019-05-09 07:26:21,0x00158d000349876a,temperature,21.02
2019-05-09 07:26:23,0x00158d000349876a,temperature,21.02
2019-05-09 07:40:12,0x00158d000349876a,temperature,21.53
2019-05-09 07:40:14,0x00158d000349876a,temperature,21.53
2019-05-09 07:40:16,0x00158d000349876a,temperature,21.53
2019-05-09 08:10:08,0x00158d000349876a,temperature,21.74
2019-05-09 09:10:01,0x00158d000349876a,temperature,21.08
2019-05-09 09:21:45,0x00158d000349876a,temperature,21.02
2019-05-09 09:21:47,0x00158d000349876a,temperature,21.02
2019-05-09 09:21:49,0x00158d000349876a,temperature,21.02
2019-05-09 10:06:45,0x00158d000349876a,temperature,21.09
2019-05-09 10:12:06,0x00158d000349876a,temperature,21.02
2019-05-09 10:12:08,0x00158d000349876a,temperature,21.02
2019-05-09 10:12:10,0x00158d000349876a,temperature,21.02
2019-05-09 11:57:29,0x00158d000349876a,temperature,21.02
2019-05-09 11:57:50,0x00158d000349876a,temperature,21.02
2019-05-09 12:51:52,0x00158d000349876a,temperature,21.13
2019-05-09 13:44:43,0x00158d000349876a,temperature,21.2
2019-05-09 14:29:54,0x00158d000349876a,temperature,21.19
2019-05-09 14:39:16,0x00158d000349876a,temperature,21.15
2019-05-09 15:11:33,0x00158d000349876a,temperature,21.18
2019-05-09 15:58:44,0x00158d000349876a,temperature,21.22
2019-05-09 16:20:59,0x00158d000349876a,temperature,21.25
2019-05-09 16:33:02,0x00158d000349876a,temperature,21.23
2019-05-09 16:48:06,0x00158d000349876a,temperature,21.22
2019-05-09 17:10:01,0x00158d000349876a,temperature,21.22
2019-05-09 17:26:34,0x00158d000349876a,temperature,21.2
2019-05-09 17:46:19,0x00158d000349876a,temperature,21.73
2019-05-09 20:10:23,0x00158d000349876a,temperature,21.63
2019-05-09 20:15:43,0x00158d000349876a,temperature,21.6
2019-05-09 20:23:15,0x00158d000349876a,temperature,21.54
2019-05-09 20:26:06,0x00158d000349876a,temperature,21.52
2019-05-09 20:31:17,0x00158d000349876a,temperature,21.49
2019-05-09 20:41:40,0x00158d000349876a,temperature,21.42
2019-05-09 20:49:32,0x00158d000349876a,temperature,21.4
2019-05-09 21:02:54,0x00158d000349876a,temperature,21.91
2019-05-09 21:15:47,0x00158d000349876a,temperature,22.21
2019-05-09 21:24:50,0x00158d000349876a,temperature,22.31
2019-05-09 21:45:04,0x00158d000349876a,temperature,22.51
2019-05-09 22:03:38,0x00158d000349876a,temperature,22.65
2019-05-09 22:10:00,0x00158d000349876a,temperature,22.61
2019-05-09 22:24:34,0x00158d000349876a,temperature,22.69
2019-05-09 22:41:58,0x00158d000349876a,temperature,22.34
2019-05-09 22:51:40,0x00158d000349876a,temperature,21.94
2019-05-09 23:04:33,0x00158d000349876a,temperature,21.53
2019-05-09 23:08:54,0x00158d000349876a,temperature,21.42
2019-05-09 23:31:49,0x00158d000349876a,temperature,21.28
2019-05-10 00:03:27,0x00158d000349876a,temperature,21.08
2019-05-10 00:05:58,0x00158d000349876a,temperature,21.05
2019-05-10 00:33:04,0x00158d000349876a,temperature,21.01
2019-05-10 00:56:29,0x00158d000349876a,temperature,20.96
2019-05-10 01:14:53,0x00158d000349876a,temperature,20.91
2019-05-10 01:50:01,0x00158d000349876a,temperature,20.85
2019-05-10 02:20:38,0x00158d000349876a,temperature,20.81
2019-05-10 02:49:55,0x00158d000349876a,temperature,20.81
2019-05-10 03:34:55,0x00158d000349876a,temperature,20.79
2019-05-10 03:47:38,0x00158d000349876a,temperature,20.78
2019-05-10 04:39:10,0x00158d000349876a,temperature,20.82
2019-05-10 04:45:22,0x00158d000349876a,temperature,20.75
2019-05-10 05:26:21,0x00158d000349876a,temperature,20.78
2019-05-10 05:41:55,0x00158d000349876a,temperature,20.75
2019-05-10 05:44:06,0x00158d000349876a,temperature,20.82
2019-05-10 06:20:04,0x00158d000349876a,temperature,20.77
2019-05-10 06:39:28,0x00158d000349876a,temperature,20.78
2019-05-10 06:42:30,0x00158d000349876a,temperature,20.78
2019-05-10 07:10:26,0x00158d000349876a,temperature,20.87
2019-05-10 07:21:08,0x00158d000349876a,temperature,21.4
2019-05-10 07:37:02,0x00158d000349876a,temperature,21.8
2019-05-10 07:43:24,0x00158d000349876a,temperature,21.91
2019-05-10 08:01:08,0x00158d000349876a,temperature,22.07
2019-05-10 08:18:32,0x00158d000349876a,temperature,21.56
2019-05-10 08:34:15,0x00158d000349876a,temperature,21.35
2019-05-10 08:34:46,0x00158d000349876a,temperature,21.32
2019-05-10 08:56:01,0x00158d000349876a,temperature,21.16
2019-05-10 09:13:45,0x00158d000349876a,temperature,21.09
2019-05-10 09:26:38,0x00158d000349876a,temperature,21.08
2019-05-10 09:32:50,0x00158d000349876a,temperature,21.03
2019-05-10 09:47:33,0x00158d000349876a,temperature,20.99
2019-05-10 09:58:59,0x00158d000349876a,temperature,20.99
2019-05-10 10:01:14,0x00158d000349876a,temperature,20.99
2019-05-10 10:04:44,0x00158d000349876a,temperature,20.99
2019-05-10 10:06:17,0x00158d000349876a,temperature,20.92
2019-05-10 10:18:06,0x00158d000349876a,temperature,20.99
2019-05-10 10:48:38,0x00158d000349876a,temperature,20.95
2019-05-10 11:17:14,0x00158d000349876a,temperature,21.08
2019-05-10 11:31:48,0x00158d000349876a,temperature,21.15
2019-05-10 12:12:17,0x00158d000349876a,temperature,21.03
2019-05-10 12:17:19,0x00158d000349876a,temperature,21.08
2019-05-10 13:08:10,0x00158d000349876a,temperature,21.25
2019-05-10 13:54:20,0x00158d000349876a,temperature,21.25
2019-05-10 14:00:12,0x00158d000349876a,temperature,21.37
2019-05-10 14:45:22,0x00158d000349876a,temperature,21.61
2019-05-10 15:00:06,0x00158d000349876a,temperature,21.64
2019-05-10 15:59:08,0x00158d000349876a,temperature,21.57
2019-05-10 16:55:20,0x00158d000349876a,temperature,21.57
2019-05-10 17:05:44,0x00158d000349876a,temperature,21.5
2019-05-10 17:28:59,0x00158d000349876a,temperature,22.01
2019-05-10 17:41:31,0x00158d000349876a,temperature,22.52
2019-05-10 17:48:13,0x00158d000349876a,temperature,22.65
2019-05-10 18:19:10,0x00158d000349876a,temperature,22.94
2019-05-10 18:41:05,0x00158d000349876a,temperature,22.87
2019-05-10 19:31:06,0x00158d000349876a,temperature,23.09
2019-05-10 19:31:56,0x00158d000349876a,temperature,23.14
2019-05-10 19:38:18,0x00158d000349876a,temperature,23.14
2019-05-10 20:12:05,0x00158d000349876a,temperature,23.09
2019-05-10 20:28:09,0x00158d000349876a,temperature,22.56
2019-05-10 20:32:00,0x00158d000349876a,temperature,22.48
2019-05-10 20:46:23,0x00158d000349876a,temperature,22.03
2019-05-10 21:26:12,0x00158d000349876a,temperature,21.67
2019-05-10 21:47:07,0x00158d000349876a,temperature,21.63
2019-05-10 22:16:44,0x00158d000349876a,temperature,21.6
2019-05-10 22:18:24,0x00158d000349876a,temperature,21.53
2019-05-10 22:27:27,0x00158d000349876a,temperature,21.52
2019-05-10 22:32:18,0x00158d000349876a,temperature,21.53
2019-05-10 22:41:40,0x00158d000349876a,temperature,21.49
2019-05-10 23:13:37,0x00158d000349876a,temperature,21.49
2019-05-10 23:20:49,0x00158d000349876a,temperature,21.45
2019-05-10 23:39:13,0x00158d000349876a,temperature,21.46
2019-05-11 00:05:09,0x00158d000349876a,temperature,21.43
2019-05-11 00:38:07,0x00158d000349876a,temperature,21.45
2019-05-11 00:57:41,0x00158d000349876a,temperature,21.43
2019-05-11 01:01:02,0x00158d000349876a,temperature,21.46
2019-05-11 01:50:23,0x00158d000349876a,temperature,21.46
2019-05-11 01:55:45,0x00158d000349876a,temperature,21.45
2019-05-11 02:01:47,0x00158d000349876a,temperature,21.36
2019-05-11 02:13:29,0x00158d000349876a,temperature,21.36
2019-05-11 02:46:16,0x00158d000349876a,temperature,21.3
2019-05-11 03:05:21,0x00158d000349876a,temperature,21.3
2019-05-11 03:25:26,0x00158d000349876a,temperature,21.28
2019-05-11 03:41:29,0x00158d000349876a,temperature,21.25
2019-05-11 04:00:34,0x00158d000349876a,temperature,21.28
2019-05-11 04:41:43,0x00158d000349876a,temperature,21.22
2019-05-11 05:40:16,0x00158d000349876a,temperature,21.2
2019-05-11 06:12:54,0x00158d000349876a,temperature,21.13
2019-05-11 06:36:59,0x00158d000349876a,temperature,21.18
2019-05-11 06:59:35,0x00158d000349876a,temperature,21.22
2019-05-11 07:28:11,0x00158d000349876a,temperature,21.22
2019-05-11 08:08:30,0x00158d000349876a,temperature,21.18
2019-05-11 08:19:33,0x00158d000349876a,temperature,21.18
2019-05-11 08:54:11,0x00158d000349876a,temperature,21.53
2019-05-11 09:07:24,0x00158d000349876a,temperature,22.05
2019-05-11 09:13:18,0x00158d000349876a,temperature,22.12
2019-05-11 09:40:52,0x00158d000349876a,temperature,22.56
2019-05-11 10:01:36,0x00158d000349876a,temperature,22.58
2019-05-11 10:11:49,0x00158d000349876a,temperature,22.61
2019-05-11 10:13:29,0x00158d000349876a,temperature,22.63
2019-05-11 10:33:24,0x00158d000349876a,temperature,22.07
2019-05-11 11:05:31,0x00158d000349876a,temperature,22.03
2019-05-11 11:16:04,0x00158d000349876a,temperature,22.05
2019-05-11 11:26:56,0x00158d000349876a,temperature,22.1
2019-05-11 11:41:50,0x00158d000349876a,temperature,22.1
